size,density,noise_level,negative_values,Start,Goal,BF Cost,A* Cost,BF Time (s),A* Time (s),BF Path,A* Path
10,0.2,0.0,False,5,6,492.0,492.0,0.0002372749731875956,0.00022526102839037776,"[5, 6]","[5, 6]"
10,0.2,0.0,True,6,9,794.0,794.0,0.00021935597760602832,0.0002637309953570366,"[6, 2, 9]","[6, 2, 9]"
10,0.2,0.1,False,9,7,1519.0,1519.0,0.0002219279995188117,0.0002638459554873407,"[9, 8, 6, 7]","[9, 8, 6, 7]"
10,0.2,0.1,True,8,0,837.0,837.0,0.00019632099429145455,0.0001947190030477941,"[8, 4, 0]","[8, 4, 0]"
10,0.2,0.5,False,2,8,2210.0,2210.0,0.00018482899758964777,0.00022619799710810184,"[2, 6, 1, 8]","[2, 6, 1, 8]"
10,0.2,0.8,False,3,8,1770.0,1770.0,0.00018354097846895456,0.00024845299776643515,"[3, 5, 6, 8]","[3, 5, 6, 8]"
10,0.2,0.8,True,8,7,949.0,949.0,0.0001468199770897627,0.00020399503409862518,"[8, 5, 0, 7]","[8, 5, 0, 7]"
10,0.5,0.0,False,5,0,886.0,886.0,0.00033428199822083116,0.0002890240284614265,"[5, 8, 0]","[5, 8, 0]"
10,0.5,0.0,True,1,6,629.0,629.0,0.0002605019835755229,0.00018590298714116216,"[1, 6]","[1, 6]"
10,0.5,0.1,False,8,1,989.0,989.0,0.00032010796712711453,0.00031502003548666835,"[8, 3, 0, 1]","[8, 3, 0, 1]"
10,0.5,0.1,True,5,0,485.0,485.0,0.0002633749973028898,0.0001851739943958819,"[5, 0]","[5, 0]"
10,0.5,0.5,False,0,8,699.0,699.0,0.00030569196678698063,0.00020926399156451225,"[0, 8]","[0, 8]"
10,0.5,0.5,True,9,7,103.0,103.0,0.0002996089751832187,0.00022971502039581537,"[9, 1, 2, 8, 7]","[9, 1, 2, 8, 7]"
10,0.5,0.8,False,0,5,880.0,880.0,0.00031720096012577415,0.00031251501059159636,"[0, 5]","[0, 5]"
10,0.5,0.8,True,3,0,285.0,299.0,0.0002804580144584179,0.00018473499221727252,"[3, 6, 7, 0]","[3, 0]"
10,0.8,0.0,False,0,2,737.0,737.0,0.0004247599863447249,0.00029730104142799973,"[0, 1, 2]","[0, 1, 2]"
10,0.8,0.0,True,0,7,708.0,708.0,0.0003594959853217006,0.00018784200074151158,"[0, 7]","[0, 7]"
10,0.8,0.1,False,4,0,945.0,945.0,0.00041661097202450037,0.0002755840541794896,"[4, 0]","[4, 0]"
10,0.8,0.1,True,1,5,479.0,479.0,0.00037684099515900016,0.00018924404866993427,"[1, 5]","[1, 5]"
10,0.8,0.5,False,0,1,769.0,769.0,0.00043611699948087335,0.00024844001745805144,"[0, 1]","[0, 1]"
10,0.8,0.5,True,8,9,316.0,419.0,0.0003781719715334475,0.00018727703718468547,"[8, 1, 9]","[8, 9]"
10,0.8,0.8,False,0,6,1223.0,1223.0,0.000407584011554718,0.0002576650003902614,"[0, 6]","[0, 6]"
10,1.0,0.0,False,5,6,427.0,427.0,0.0004665119922719896,0.00028409098740667105,"[5, 6]","[5, 6]"
10,1.0,0.0,True,7,2,899.0,899.0,0.00040431099478155375,0.0001862390199676156,"[7, 2]","[7, 2]"
10,1.0,0.1,False,2,6,253.0,253.0,0.0004649270558729768,0.00030367099680006504,"[2, 6]","[2, 6]"
10,1.0,0.1,True,8,5,643.0,643.0,0.00038959499215707183,0.0002053569769486785,"[8, 5]","[8, 5]"
10,1.0,0.5,False,7,3,1223.0,1223.0,0.0004836309817619622,0.0002481809933669865,"[7, 3]","[7, 3]"
10,1.0,0.8,False,4,9,752.0,752.0,0.000486389035359025,0.00026121799601241946,"[4, 6, 9]","[4, 6, 9]"
20,0.2,0.0,False,16,19,251.0,251.0,0.00045763299567624927,0.0004826650256291032,"[16, 19]","[16, 19]"
20,0.2,0.0,True,2,7,1182.0,1182.0,0.00028660299722105265,0.0003984569921158254,"[2, 8, 7]","[2, 8, 7]"
20,0.2,0.1,False,7,13,1224.0,1224.0,0.0004511019797064364,0.0005523149739019573,"[7, 5, 13]","[7, 5, 13]"
20,0.2,0.1,True,2,1,37.0,37.0,0.0003227120032534003,0.0003405030001886189,"[2, 1]","[2, 1]"
20,0.2,0.5,False,19,13,1061.0,1061.0,0.00039453699719160795,0.0005270489491522312,"[19, 13]","[19, 13]"
20,0.2,0.5,True,5,13,649.0,649.0,0.0003280470264144242,0.0004378269659355283,"[5, 10, 12, 18, 9, 13]","[5, 10, 12, 18, 9, 13]"
20,0.2,0.8,False,16,13,969.0,969.0,0.00045327498810365796,0.0005029300227761269,"[16, 5, 13]","[16, 5, 13]"
20,0.5,0.0,False,14,7,661.0,661.0,0.0008468209998682141,0.0005135859828442335,"[14, 7]","[14, 7]"
20,0.5,0.0,True,13,15,433.0,433.0,0.0006304430426098406,0.0003956040018238127,"[13, 15]","[13, 15]"
20,0.5,0.1,False,17,2,1226.0,1226.0,0.0008425280102528632,0.0006421729922294617,"[17, 19, 2]","[17, 19, 2]"
20,0.5,0.1,True,0,6,633.0,633.0,0.0005904649733565748,0.00042174500413239,"[0, 6]","[0, 6]"
20,0.5,0.5,False,11,14,484.0,484.0,0.0008421369711868465,0.0005816729972139001,"[11, 2, 14]","[11, 2, 14]"
20,0.5,0.8,False,16,10,937.0,937.0,0.0008096160017885268,0.0006329489988274872,"[16, 0, 10]","[16, 0, 10]"
20,0.8,0.0,False,7,6,320.0,320.0,0.001290935033466667,0.0005546979955397546,"[7, 6]","[7, 6]"
20,0.8,0.0,True,13,7,421.0,421.0,0.0009382260031998158,0.00041024998063221574,"[13, 7]","[13, 7]"
20,0.8,0.1,False,8,9,707.0,707.0,0.001173865981400013,0.0005763349472545087,"[8, 11, 9]","[8, 11, 9]"
20,0.8,0.5,False,14,17,657.0,657.0,0.0011926700244657695,0.000573525030631572,"[14, 16, 17]","[14, 16, 17]"
20,0.8,0.8,False,1,18,785.0,785.0,0.0011648550280369818,0.0006502169999293983,"[1, 7, 18]","[1, 7, 18]"
20,1.0,0.0,False,10,7,340.0,340.0,0.0014440910308621824,0.0006035940023139119,"[10, 7]","[10, 7]"
20,1.0,0.0,True,4,9,370.0,370.0,0.001140244014095515,0.00046842696610838175,"[4, 9]","[4, 9]"
20,1.0,0.1,False,13,11,839.0,839.0,0.001407140982337296,0.0005801960360258818,"[13, 11]","[13, 11]"
20,1.0,0.5,False,5,6,893.0,893.0,0.0014444650150835514,0.0005753420409746468,"[5, 6]","[5, 6]"
20,1.0,0.8,False,14,11,245.0,245.0,0.001334803004283458,0.0005329989944584668,"[14, 11]","[14, 11]"
100,0.2,0.0,False,50,33,885.0,885.0,0.006168635038193315,0.008285356045234948,"[50, 63, 33]","[50, 63, 33]"
100,0.2,0.0,True,88,6,743.0,743.0,0.006326955975964665,0.008399702026508749,"[88, 53, 6]","[88, 53, 6]"
100,0.2,0.1,False,76,39,671.0,671.0,0.006661888037342578,0.008152429014444351,"[76, 29, 39]","[76, 29, 39]"
100,0.2,0.5,False,32,89,1015.0,1015.0,0.006416278018150479,0.008314935024827719,"[32, 52, 89]","[32, 52, 89]"
100,0.2,0.8,False,26,22,1547.0,1547.0,0.006112361035775393,0.008603595022577792,"[26, 43, 40, 22]","[26, 43, 40, 22]"
100,0.5,0.0,False,71,62,373.0,373.0,0.01535682805115357,0.009179701970424503,"[71, 82, 62]","[71, 82, 62]"
100,0.5,0.0,True,65,97,518.0,518.0,0.015138274990022182,0.0089048040099442,"[65, 37, 97]","[65, 37, 97]"
100,0.5,0.1,False,4,8,325.0,325.0,0.015562152024358511,0.009391393978148699,"[4, 7, 8]","[4, 7, 8]"
100,0.5,0.5,False,37,83,680.0,680.0,0.015201240021269768,0.00905262294691056,"[37, 4, 83]","[37, 4, 83]"
100,0.5,0.8,False,40,78,1171.0,1171.0,0.015308245026972145,0.009233765013050288,"[40, 70, 78]","[40, 70, 78]"
100,0.8,0.0,False,31,23,1135.0,1135.0,0.022865747043397278,0.009342228004243225,"[31, 1, 23]","[31, 96, 23]"
100,0.8,0.0,True,80,17,402.0,402.0,0.024368912039790303,0.009880452998913825,"[80, 17]","[80, 17]"
100,0.8,0.1,False,79,87,955.0,955.0,0.02377809298923239,0.009646251040976495,"[79, 23, 87]","[79, 23, 87]"
100,0.8,0.5,False,7,5,1177.0,1177.0,0.024077882000710815,0.009779596992302686,"[7, 79, 5]","[7, 79, 5]"
100,0.8,0.8,False,67,33,1005.0,1005.0,0.02392743102973327,0.01063587295357138,"[67, 36, 31, 33]","[67, 36, 31, 33]"
100,1.0,0.0,False,57,15,481.0,481.0,0.0283631450147368,0.009670089988503605,"[57, 15]","[57, 15]"
100,1.0,0.0,True,13,71,442.0,442.0,0.03338889899896458,0.01000643998850137,"[13, 50, 71]","[13, 50, 71]"
100,1.0,0.1,False,86,45,379.0,379.0,0.029545650992076844,0.009921091026626527,"[86, 45]","[86, 45]"
100,1.0,0.5,False,89,79,858.0,858.0,0.030884969979524612,0.010530481988098472,"[89, 45, 79]","[89, 45, 79]"
100,1.0,0.8,False,70,23,865.0,865.0,0.03181382501497865,0.011231796990614384,"[70, 35, 23]","[70, 35, 23]"
500,0.2,0.0,False,383,26,792.0,792.0,0.16548599395900965,0.22060408804100007,"[383, 180, 26]","[383, 180, 26]"
500,0.2,0.0,True,418,116,523.0,523.0,0.16879664699081331,0.2065167670371011,"[418, 438, 102, 116]","[418, 438, 102, 116]"
500,0.2,0.1,False,285,202,565.0,565.0,0.2209930529934354,0.24495370301883668,"[285, 352, 202]","[285, 352, 202]"
500,0.2,0.5,False,498,99,1136.0,1136.0,0.181400355999358,0.22247661597793922,"[498, 22, 188, 99]","[498, 22, 188, 99]"
500,0.2,0.8,False,473,45,977.0,977.0,0.17296771396650001,0.21431134699378163,"[473, 133, 451, 45]","[473, 133, 451, 45]"
500,0.5,0.0,False,311,290,696.0,696.0,0.42142720497213304,0.25345909100724384,"[311, 141, 290]","[311, 141, 290]"
500,0.5,0.0,True,72,2,665.0,665.0,0.408112765988335,0.22569884703261778,"[72, 340, 2]","[72, 340, 2]"
500,0.5,0.1,False,449,149,908.0,908.0,0.455143611994572,0.22316930204397067,"[449, 221, 149]","[449, 221, 149]"
500,0.5,0.5,False,451,335,570.0,570.0,0.4313255299930461,0.31340422003995627,"[451, 205, 319, 335]","[451, 205, 319, 335]"
500,0.5,0.8,False,445,99,850.0,850.0,0.4824169810162857,0.2750320300110616,"[445, 287, 99]","[445, 287, 99]"
500,0.8,0.0,False,379,471,220.0,220.0,0.6678330820286646,0.24182626500260085,"[379, 471]","[379, 471]"
500,0.8,0.0,True,400,366,730.0,730.0,0.6272263479768299,0.24034071603091434,"[400, 32, 484, 366]","[400, 32, 484, 366]"
500,0.8,0.1,False,24,182,609.0,609.0,0.7258600629866123,0.2641213049646467,"[24, 182]","[24, 182]"
500,0.8,0.5,False,318,52,939.0,939.0,0.6974952450254932,0.252768964972347,"[318, 144, 101, 52]","[318, 144, 101, 52]"
500,0.8,0.8,False,255,314,951.0,951.0,0.6869211769662797,0.25198392901802436,"[255, 419, 221, 314]","[255, 419, 221, 314]"
500,1.0,0.0,False,381,463,741.0,742.0,0.7896829210221767,0.24759148200973868,"[381, 382, 23, 82, 463]","[381, 463]"
500,1.0,0.0,True,89,303,606.0,606.0,0.9195470970007591,0.2509793959907256,"[89, 235, 303]","[89, 235, 303]"
500,1.0,0.1,False,204,220,315.0,315.0,0.8641720899613574,0.25033358798827976,"[204, 420, 192, 220]","[204, 420, 192, 220]"
500,1.0,0.5,False,237,477,516.0,516.0,0.9818911750335246,0.2562735620304011,"[237, 60, 345, 477]","[237, 60, 345, 477]"
500,1.0,0.8,False,97,249,910.0,910.0,0.960129840997979,0.2515602799830958,"[97, 277, 70, 249]","[97, 277, 70, 249]"
1000,0.2,0.0,False,49,425,455.0,455.0,0.692869646998588,0.9333552760072052,"[49, 425]","[49, 425]"
1000,0.2,0.0,True,423,565,462.0,462.0,0.7272703539929353,0.8572207849938422,"[423, 286, 265, 565]","[423, 286, 265, 565]"
1000,0.2,0.1,False,945,620,487.0,487.0,0.6876596069778316,0.9460074169910513,"[945, 608, 730, 620]","[945, 608, 730, 620]"
1000,0.2,0.5,False,349,995,508.0,508.0,0.6926463129930198,0.8055287830065936,"[349, 995]","[349, 995]"
1000,0.2,0.8,False,603,948,934.0,934.0,0.8758973149815574,0.9601628929958679,"[603, 279, 155, 8, 948]","[603, 279, 155, 8, 948]"
1000,0.5,0.0,False,16,460,857.0,857.0,1.8063957630074583,0.8943313320050947,"[16, 242, 109, 460]","[16, 242, 109, 460]"
1000,0.5,0.0,True,209,324,431.0,431.0,1.71649865899235,0.8771395339863375,"[209, 203, 324]","[209, 203, 324]"
1000,0.5,0.1,False,834,757,193.0,193.0,1.7879484069999307,0.8660424139816314,"[834, 757]","[834, 757]"
1000,0.5,0.5,False,407,497,657.0,657.0,1.7294284270028584,0.8812604710110463,"[407, 949, 651, 497]","[407, 949, 651, 497]"
1000,0.5,0.8,False,420,529,758.0,758.0,1.726726286986377,0.937102451978717,"[420, 939, 907, 529]","[420, 939, 907, 529]"
1000,0.8,0.0,False,230,785,578.0,578.0,2.663197533984203,0.9201169769512489,"[230, 89, 785]","[230, 89, 785]"
1000,0.8,0.0,True,558,673,465.0,465.0,3.1258465819992125,1.0841503060073592,"[558, 673]","[558, 673]"
1000,0.8,0.1,False,77,414,450.0,450.0,2.905376131995581,0.9229342690086924,"[77, 856, 414]","[77, 856, 414]"
1000,0.8,0.5,False,281,734,412.0,412.0,2.9375584239605814,1.083356861025095,"[281, 289, 734]","[281, 289, 734]"
1000,0.8,0.8,False,749,711,527.0,527.0,2.966978971962817,1.0127189620397985,"[749, 497, 711]","[749, 497, 711]"
1000,1.0,0.0,False,924,932,783.0,783.0,3.340749802009668,1.0169942749780603,"[924, 511, 4, 932]","[924, 511, 4, 932]"
1000,1.0,0.0,True,741,323,382.0,382.0,4.083301151986234,1.57386028196197,"[741, 190, 970, 323]","[741, 190, 970, 323]"
1000,1.0,0.1,False,184,114,912.0,912.0,3.910823028010782,1.1191393689950928,"[184, 650, 114]","[184, 650, 114]"
1000,1.0,0.5,False,132,729,640.0,640.0,3.4796351559925824,0.9825645239907317,"[132, 551, 938, 729]","[132, 551, 938, 729]"
1000,1.0,0.8,False,970,927,765.0,765.0,3.5828919379855506,0.978534399997443,"[970, 711, 784, 927]","[970, 711, 784, 927]"
